,skill,group,feature_0,feature_1,normal_learning_aware0_score,test_score_dist,cost_to_test,prob_accept_at_threshold,exp_utility_from_school,take_test_at_threshold,admitted,skillcut,skillround,testcut,testround
62,-1.047421353228755,A,-2.5074966200672426,5.996655962281519,-0.7646206480615616,"('NORMAL', -0.0442099893940362, 2.915084857806493)",0.0,0.23662032546949185,1.1831016273474593,True,False,0.095,-1.05,0.97,6.0
63,-0.8887709916763669,A,-1.9144319170994186,9.250712450549077,-0.45025192293733207,"('NORMAL', 0.17439007523470829, 2.915084857806493)",0.0,0.2808596740172691,1.4042983700863454,True,False,0.13999999999999999,-0.8875,0.9949999999999999,9.25
64,1.656403163249632,A,2.439827976308478,1.454696119090922,0.8581013116174446,"('NORMAL', 1.7793439518456347, 2.915084857806493)",0.0,0.6923053868436462,3.461526934218231,True,True,0.99,1.6625,0.64,1.45
65,1.4951843835300882,A,2.0204958846068997,2.329675129594394,0.7360200999319954,"('NORMAL', 1.6247806775719256, 2.915084857806493)",0.0,0.656463824264465,3.2823191213223253,True,True,0.9800000000000001,1.5,0.725,2.35
66,-1.5338237982779885,A,0.970844071863274,-0.9456996470473055,0.25799324966623505,"('NORMAL', 1.2378853642019032, 2.915084857806493)",0.0,0.502569587565761,2.5128479378288047,True,False,0.025,-1.5375,0.365,-0.95
67,0.7239362851394735,A,1.3563992547748658,2.9994649972717187,0.5200928420743538,"('NORMAL', 1.3799986740661627, 2.915084857806493)",0.0,0.5855964211889264,2.927982105944632,True,False,0.8400000000000001,0.725,0.79,3.0
68,0.8606992376707806,A,1.7863624125163386,4.715317234256208,0.7277097049544811,"('NORMAL', 1.5384804950208055, 2.915084857806493)",0.0,0.6242720903332336,3.121360451666168,True,True,0.875,0.8625,0.915,4.7
69,-0.6864621635930503,A,-0.4613855708618214,0.9291688330651802,-0.19411023253981768,"('NORMAL', 0.7099741752605244, 2.915084857806493)",0.0,0.39926173034609214,1.9963086517304607,True,False,0.2,-0.6875,0.585,0.95
70,0.3554494545428463,A,-0.026695284212792436,3.60248689437148,0.0454020990508397,"('NORMAL', 0.87019838735652, 2.915084857806493)",0.0,0.4589764454094698,2.2948822270473492,True,False,0.705,0.35,0.8400000000000001,3.6
71,-0.30296754985375335,A,0.09038205746053496,-5.486146648960266,-0.19955182858493575,"('NORMAL', 0.9133523878024705, 2.915084857806493)",0.0,0.45436367756522,2.2718183878261,True,False,0.37,-0.3,0.045,-5.5
72,-0.5027565138890383,A,0.2118055130682498,-3.1213404411905383,-0.08159828334173141,"('NORMAL', 0.9581083395737767, 2.915084857806493)",0.0,0.46031932978655066,2.3015966489327533,True,False,0.27999999999999997,-0.5,0.16499999999999998,-3.1
73,-0.6076768840893078,A,-1.8167817905519943,-4.2356745666901565,-0.840889819889531,"('NORMAL', 0.21038332161651185, 2.915084857806493)",0.0,0.29340927603196043,1.4670463801598022,True,False,0.225,-0.6125,0.095,-4.25
74,0.11413047062415022,A,0.2928388175597575,5.889669354317571,0.2316251448996778,"('NORMAL', 0.9879767257891091, 2.915084857806493)",0.0,0.4810347316211965,2.4051736581059826,True,False,0.575,0.1125,0.9650000000000001,5.9
75,-1.689950081790442,A,-0.7799800229744749,0.5299727472518807,-0.3204318799931344,"('NORMAL', 0.5925421860126936, 2.915084857806493)",0.0,0.3518661408346977,1.7593307041734885,True,False,0.015,-1.6875,0.53,0.55
76,-0.3372411576191562,A,-1.153626785789538,-0.8170001614224679,-0.49630762732595163,"('NORMAL', 0.45481824781344893, 2.915084857806493)",0.0,0.35007128449063507,1.7503564224531754,True,False,0.355,-0.3375,0.38,-0.8
77,-1.4080689909684476,A,-0.9910092662119542,-4.144785853624951,-0.5432505444838774,"('NORMAL', 0.5147580825591943, 2.915084857806493)",0.0,0.3408865347466108,1.704432673733054,True,False,0.04,-1.4125,0.1,-4.15
78,-0.4269633564202801,A,-1.12616569643431,-0.40650740529186163,-0.47355393679785185,"('NORMAL', 0.46494023935634166, 2.915084857806493)",0.0,0.35040443286260325,1.7520221643130163,True,False,0.305,-0.425,0.425,-0.4
79,0.01920909828698922,A,0.08335699325998465,2.953449453061303,0.06420975641270443,"('NORMAL', 0.9107629916023992, 2.915084857806493)",0.0,0.4609258649956054,2.304629324978027,True,False,0.525,0.025,0.7849999999999999,2.95
80,0.20244315856509784,A,-1.6768950138417036,-3.132374966653586,-0.7561460564156708,"('NORMAL', 0.2619447419413957, 2.915084857806493)",0.0,0.31994854092559843,1.5997427046279922,True,False,0.63,0.2,0.16,-3.15
81,0.8620892297218334,A,1.8833009100828886,-0.7724276850363763,0.5891749669045885,"('NORMAL', 1.574211439261827, 2.915084857806493)",0.0,0.6322150925570996,3.1610754627854982,True,False,0.875,0.8625,0.385,-0.75
82,0.09998766143369821,A,-0.3944097844847335,0.9898364290590638,-0.16828817050110323,"('NORMAL', 0.7346610452720529, 2.915084857806493)",0.0,0.422024791664792,2.11012395832396,True,False,0.5650000000000001,0.1,0.5900000000000001,1.0
83,-0.0719409919108785,A,1.604201147761255,-2.0751118040685608,0.4484464835545744,"('NORMAL', 1.4713369539382812, 2.915084857806493)",0.0,0.5890558018127187,2.945279009063593,True,False,0.475,-0.075,0.23500000000000001,-2.1
84,-0.8581824576752902,A,-1.4161074196598444,-2.4730350789500117,-0.6422518854615631,"('NORMAL', 0.3580694727797813, 2.915084857806493)",0.0,0.31882244601794163,1.5941122300897081,True,False,0.155,-0.8625,0.205,-2.45
